identifier,title
SRES 350,"A resolution recognizing and celebrating the 200th anniversary of the entry of Missouri-the ""Show Me State""-into the Union as the 24th State."
S 1300,Promotion and Expansion of Private Employee Ownership Act of 2021
HR 3099,Primary Regulators of Insurance Vote Act of 2021
S 2116,Senior Financial Empowerment Act of 2021
SRES 238,A resolution recognizing and honoring the sacrifices and accomplishments of the Greatest Generation.
S 2002,National Institutes of Health Director Protection Act
S 3225,Respecting Our Frontline Workers Act
S 1258,"A bill to extend the authorization of each of the National Coal Heritage Area and the Wheeling National Heritage Area in the State of West Virginia, and for other purposes."
S 3060,PREP Act
HR 3764,Ocean-Based Climate Solutions Act of 2021
HR 440,"To amend the Alaska Native Claims Settlement Act to provide that Alexander Creek, Alaska, is and shall be recognized as an eligible Native village under that Act, and for other purposes."
S 4046,"Simplify, Don’t Amplify the IRS Act"
S 1679,Allied Health Workforce Diversity Act of 2021
HR 2175,No Mask Mandate for Kids Act
HJRES 49,Providing for congressional disapproval of the proposed direct commercial sale to Israel of certain weaponry and munitions.
S 330,State Veterans Homes Relief Act of 2021
S 350,Newborn Screening Saves Lives Reauthorization Act of 2021
HRES 246,Recognizing the 200th anniversary of the independence of Greece and celebrating democracy in Greece and the United States.
HR 154,RESCUE Act for Black and Community Banks
HR 4712,Desalination Development Act
S 2023,Relief for America's Small Farmers Act
S 1358,Bipartisan Border Solutions Act of 2021
S 1086,Jabara-Heyer NO HATE Act
S 2423,Wildfire Smoke Relief Act
HR 1596,"Commission to Study the Stigmatization, Criminalization, and Ongoing Exclusion and Inequity for LGBTQ Servicemembers and Veterans Act"
HR 894,No Tax Breaks for Sanctuary Cities Act
S 1395,Advancing IoT for Precision Agriculture Act of 2021
HR 462,"To establish new ZIP Codes for certain communities, and for other purposes."
S 2749,Marine Corps Recruit Depot San Diego Protection Act
HR 8736,GUARD VA Benefits Act
S 3215,USACE Military Personnel Augmentation Act of 2021
HR 4181,Stop Inflationary Spending Act
S 406,National Right-to-Work Act
S 1032,A bill direct the Joint Committee of Congress on the Library to obtain a statue of Shirley Chisholm for placement in the United States Capitol.
S 379,Libya Stabilization Act
HRES 657,"Expressing the sense of Congress regarding the achievements of Tejano music artists such as Freddy Fender, Roberto Pulido, Flaco Jimenez, and Selena Quintanilla, in recognition of their contributions to the cultural heritage and diversity of the United States."
HRES 858,"Recognizing the week of December 26, 2021, as the ""Week of the Quincentennial of the Fight Against Black Slavery in the Americas""."
HR 1826,Fairness in Medicare Part B Enrollment Act of 2021
HR 3742,Vaccine INFO Act
HR 900,Essential Worker Pandemic Compensation Act of 2021
HR 2194,To provide for expedited compassionate release in the event of a public health emergency.
HR 2036,Saving Us from Pandemic Era Resistance by Building a Unified Global Strategy Act of 2021
HR 1014,Veterans National Traumatic Brain Injury Treatment Act
S 2420,Electric Bicycle Incentive Kickstart for the Environment Act
HRES 84,"Authorizing and directing Committee on House Administration to report recommendations to the House to enhance House Chamber security, and for other purposes."
HR 157,Guam Supplemental Security Income Equality Act
HR 804,FAMILY Act
S 3295,PrEP Access and Coverage Act
HR 2360,Small Business Relief Accessibility Act
HR 2718,Maximum Pressure Act
HR 1986,Federal Bird Safe Buildings Act of 2021
HR 1968,Puerto Rico Insurance Excise Tax Exemption Act of 2021
S 475,Juneteenth National Independence Day Act
HR 1581,Build America’s Libraries Act
HR 2972,HELLPP Act
HR 5050,Social Security Enhancement and Protection Act of 2021
HR 6280,To amend the Fair Labor Standards Act of 1938 to exempt certain employees engaged in outdoor recreational outfitting or guiding services from maximum hours requirements.
HRES 495,"Calling for sickle cell trait research, surveillance, and public education and awareness, and for other purposes."
HR 1625,AIM Act
HR 4306,Foreign Service Families Act of 2021
HRES 878,"Recognizing the seriousness of polycystic ovary syndrome (PCOS) and expressing support for the designation of the month of September 2022 as ""PCOS Awareness Month""."
HR 591,Defund EcoHealth Alliance Act
HR 3353,Contact Lens Prescription Verification Modernization Act
HRES 510,"Recognizing the month of June as ""Immigrant Heritage Month"", a celebration of the accomplishments and contributions immigrants and their children have made in making the United States a healthier, safer, more diverse, prosperous country, and acknowledging the importance of immigrants and their children to the future successes of the United States."
S 675,NICS Denial Notification Act of 2021
HR 8219,Justice for American Victims Of Terrorism Act of 2022
HR 4527,Oath of Exit Act
HR 4407,TRAIN Act
S 2075,Segal AmeriCorps Education Award Tax Relief Act of 2021
HR 4806,TRAP Act of 2021
HR 4602,WIPPES Act
HR 2079,Eliminating the Provider Relief Fund Tax Penalties Act of 2021
HR 1660,Stop Sewage Overflow Act
S 179,"A bill to authorize the appropriation of an additional $10,000,000,000 to secure critical materials and supplies to combat the COVID-19 pandemic."
HR 5983,Veterans Health Flexibility Act
HJRES 15,Providing for congressional disapproval of the proposed foreign military sale to the Kingdom of Saudi Arabia of certain defense articles and services.
HR 6501,"To amend the Immigration and Nationality Act to extend honorary citizenship to otherwise qualified noncitizens who enlisted in the Philippines and died while serving on active duty with the United States Armed Forces during certain periods of hostilities, and for other purposes."
S 61,Pain-Capable Unborn Child Protection Act
S 443,DISCLOSE Act of 2021
HR 403,To repeal a restriction on the use of funds by the Securities and Exchange Commission to ensure shareholders of corporations have knowledge of corporate political activity.
HR 2548,Cormorant Relief Act
HRES 333,Expressing the profound sorrow of the House of Representatives on the death of the Honorable Walter F. Mondale.
S 1733,One Stop Shop Community Reentry Program Act of 2021
S 1842,Building Child Care for a Better Future Act
SRES 201,A resolution amending the Standing Rules of the Senate to enable the participation of absent Senators during a national crisis.
HR 4569,Action Versus No Action Act
HR 6544,EARN IT Act of 2022
HR 2003,Secure the Southern Border Act
HR 6453,Prevent Homelessness Act of 2022
S 1570,HELP Act of 2021
HR 256,To repeal the Authorization for Use of Military Force Against Iraq Resolution of 2002.
HR 1747,Direct Hire To Fight Fires
HRES 639,"Recognizing September 11, 2021, as a ""National Day of Service and Remembrance""."
S 2343,Chai Suthammanont Remembrance Act of 2021
HR 1627,Capitol Remembrance Act
S 1487,ALERT Act
S 3651,Flint Registry Reauthorization Act of 2022
HR 3288,Filer Voter Act
S 1741,Alternative Pathways to Child Abuse Prevention Act
HR 3087,Breast Cancer Patient Equity Act
S 3084,Emergency Relief for Servicemembers Act of 2021
HRES 88,"Recognizing women's cardiovascular health as a critical health care priority that affects every State and contributes to increased health care costs, and promoting the necessity of increased awareness of and education on the symptoms for heart disease among women, gender-specific cardiovascular disease research, and policy action to alleviate the risks of heart disease among women."
HR 928,American Family Act of 2021
S 1980,Farm Subsidy Transparency Act of 2021
HRES 560,"Congratulating the Milwaukee Bucks, and the fans of the Milwaukee Bucks around the world, on winning the 2021 National Basketball Association championship."
HR 3716,Children’s Protection Act of 2021
S 2468,American Shores Protection Act
S 1928,National Climate Service Corps and Careers Network Act of 2021
S 1573,Andrew Kearse Accountability for Denial of Medical Care Act of 2021
HR 6649,Service Restoration Act
HR 5249,Small Farm to School Act of 2021
HR 1309,SERVE Act
HR 1246,Paycheck Protection Clarification for Producers Act
HRES 616,Recognizing the 30th anniversary of the closing of the Semipalatinsk nuclear weapons test site in Kazakhstan.
SRES 285,"A resolution honoring the lives and legacies of the ""Radium Girls""."
S 1747,Fluke Fairness Act of 2021
S 438,Traditional Cigar Manufacturing and Small Business Jobs Preservation Act of 2021
S 2756,"A bill to posthumously award a Congressional Gold Medal, in commemoration of the service members who perished as a result of the attack in Afghanistan on August 26, 2021, during the evacuation of citizens of the United States and Afghan allies at Hamid Karzai International Airport, and for other purposes."
HRES 140,"Expressing support for designation of the month of February 2021 as ""National Teen Dating Violence Awareness and Prevention Month""."
HR 4226,Flood Insurance Fairness Act
HR 4393,To require the Director of the Court Services and Offender Supervision Agency for the District of Columbia and the Director of the District of Columbia Pretrial Services Agency to reside in the District of Columbia.
HR 3710,Reopening to address Every COmplete Record request for Devoted Servicemembers Act of 2021
S 2144,PEERS Act of 2021
HR 3266,Jump-Start the Economy with Jobs Act
HR 6512,Prescription Freedom Act of 2022
HCONRES 73,"Recognizing the need to improve physical access to many federally funded facilities for all people of the United States, particularly people with disabilities."
HR 2803,Agriculture Resilience Act
S 1175,911 SAVES Act
